Q#,Question Text,Grammar Topic,Unit Index,Inferred Level,Video Match Type,Video ID,Video Name,Video URL
1,Most university students __________ on campus in their first year.,Present tenses,Unit 1,1,Exact Level,7199,Feeling Blue,https://ejoy-english.com/epic/videoEpic/feeling-blue/7199
2,From this graph we can see that the economy __________ at the moment.,Present tenses,Unit 1,1,Exact Level,323,Months & Holidays,https://ejoy-english.com/epic/videoEpic/323
3,They __________ personal computers when my father was a student.,Past tenses 1,Unit 2,1,Exact Level,216,Comparing the Past and the Present,https://ejoy-english.com/epic/videoEpic/216
4,I __________ want to be a practising doctor but now I’m more interested in research.,Past tenses 1,Unit 2,1,Exact Level,218,I Watched TV Yesterday,https://ejoy-english.com/epic/videoEpic/218
5,The teacher __________ us how to do the experiment when the fire bell rang.,Past tenses 1,Unit 2,1,Exact Level,218,I Watched TV Yesterday,https://ejoy-english.com/epic/videoEpic/218
6,I finished my essay yesterday but __________ it in to the tutor yet.,Present perfect,Unit 3,1,Fallback Level 2,ep_956,Wiz Khalifa ft Charlie Puth - See You Again,https://ejoy-english.com/epic/videoEpic/homeland-i-want-to-tell/ep_956
7,__________ the experiment three times now with different results each time!,Present perfect,Unit 3,1,Fallback Level 2,ep_956,Wiz Khalifa ft Charlie Puth - See You Again,https://ejoy-english.com/epic/videoEpic/homeland-i-want-to-tell/ep_956
8,When I arrived the lecture __________ so I didn’t find it easy to follow.,Past tenses 2,Unit 4,2,Fallback Level 3,ep_691,Country Strong - First Time,https://ejoy-english.com/epic/videoEpic/country-strong/first-time/ep_691
9,She __________ well at school but that changed when she became friends with a different group of girls.,Past tenses 2,Unit 4,2,Fallback Level 3,ep_438,The Railway Man - Are You Romantic?,https://ejoy-english.com/epic/videoEpic/railway-man/are-you-romantic/ep_438
10,__________ the doctor at 2.00 this afternoon so I can’t go to the lecture.,Future 1,Unit 5,2,Exact Level,59366,Let's Go Out,https://ejoy-english.com/epic/videoEpic/59366
11,My sister __________ economics and politics when she goes to university.,Future 1,Unit 5,2,Exact Level,5222,How is the Weather Today?,https://ejoy-english.com/epic/videoEpic/5222
12,While we’re working on the project our boss __________ on a beach in Greece!,Future 2,Unit 6,2,Any Level (Found 7),16865_p1,Top Big Bang Theory Moments,https://ejoy-english.com/epic/videoEpic/16865_p1
13,"If the trend continues, the average income __________ by 107% by 2020.",Future 2,Unit 6,2,Any Level (Found 7),16865_p1,Top Big Bang Theory Moments,https://ejoy-english.com/epic/videoEpic/16865_p1
14,You can base your geography assignment on __________ country – it doesn’t matter which.,Countable and uncountable nouns,Unit 7,2,Exact Level,2638,I Am a Flower,https://ejoy-english.com/epic/videoEpic/2638
15,There aren’t __________ places left on the course so you’d better apply soon.,Countable and uncountable nouns,Unit 7,2,Exact Level,ep_21,The Founder - Drive Thru,https://ejoy-english.com/epic/videoEpic/founder/drive-thru/ep_21
16,I don’t know whether to accept the job offer. It’s __________ .,Referring to nouns,Unit 8,3,Exact Level,ep_579,Paranorman - Uh-Oh,https://ejoy-english.com/epic/videoEpic/best-2012-paranorman/uh-oh/ep_579
17,"For those of you new to the company, this leaflet is full of __________ .",Referring to nouns,Unit 8,3,Exact Level,ep_497,Lone Ranger - The Mask,https://ejoy-english.com/epic/videoEpic/lone-ranger/mask/ep_497
18,The manager interviewed __________ candidates in turn.,Referring to nouns,Unit 8,3,Exact Level,ep_497,Lone Ranger - The Mask,https://ejoy-english.com/epic/videoEpic/lone-ranger/mask/ep_497
19,I know it’s not much of a present but I made it __________ .,Pronouns and referencing,Unit 9,3,Exact Level,ep_223,Trolls - Crazy Prepared,https://ejoy-english.com/epic/videoEpic/trolls/crazy-prepared/ep_223
20,You should visit Bath. It’s __________ city.,Adjectives and adverbs,Unit 10,3,Exact Level,ep_344,Fantastic Four - We're Good,https://ejoy-english.com/epic/videoEpic/fantastic-four/were-good/ep_344
21,The government has released some __________ data showing how schools are not providing an adequate education to our children.,Adjectives and adverbs,Unit 10,3,Exact Level,ep_344,Fantastic Four - We're Good,https://ejoy-english.com/epic/videoEpic/fantastic-four/were-good/ep_344
22,You really should go to Namibia. The scenery is __________ stunning and the people are very friendly.,Adjectives and adverbs,Unit 10,3,Exact Level,ep_344,Fantastic Four - We're Good,https://ejoy-english.com/epic/videoEpic/fantastic-four/were-good/ep_344
23,This factory produces some of __________ cameras in the world.,Comparing things,Unit 11,3,Exact Level,ep_601,The Avengers - Nick Fury Imprisons Loki,https://ejoy-english.com/epic/videoEpic/avengers/nick-fury-imprisons-loki/ep_601
24,__________ people live in the countryside than 100 years ago.,Comparing things,Unit 11,3,Exact Level,ep_35,The Darkest Minds - Like Riding a Bike,https://ejoy-english.com/epic/videoEpic/darkest-minds/riding-bike/ep_35
25,The bookshop __________ the end of the road is excellent.,The noun phrase,Unit 12,4,Exact Level,ep_466,Philomena - Don't Be Rude,https://ejoy-english.com/epic/videoEpic/philomena/dont-be-rude/ep_466
26,There were millions of people around the world __________ the football match live on television.,The noun phrase,Unit 12,4,Exact Level,ep_1350,Associated Press - Wagering Around The Olympics,https://ejoy-english.com/epic/videoEpic/associated-press/wagering-around-olympics/ep_1350
27,Scientists finally __________ find a cure for the disease after years of research.,Modals 1,Unit 13,4,Exact Level,ep_1064,Weezer - I'm Your Daddy,https://ejoy-english.com/epic/videoEpic/weezer/im-your-daddy/ep_1064
28,She got a terrible mark in the exam so she __________ very hard at all.,Modals 1,Unit 13,4,Exact Level,ep_1004,Joyful Noise - The Man In The Mirror,https://ejoy-english.com/epic/videoEpic/joyful-noise/man-mirror/ep_1004
29,What __________ in order to get a permit to work in your country?,Modals 2,Unit 14,4,Exact Level,ep_1323,Destiny - New Beginnings,https://ejoy-english.com/epic/videoEpic/destiny/new-beginnings/ep_1323
30,When you write your essays you __________ copy ideas from books without referencing them properly.,Modals 2,Unit 14,4,Exact Level,ep_75,"I, Tonya - Spilled Milk",https://ejoy-english.com/epic/videoEpic/i-tonya/spilled-milk/ep_75
31,Doctors have __________ us to cut down on salt in our diets if we want to reduce the risk of getting heart disease.,Reported speech,Unit 15,4,None,,,
32,"__________ this newspaper report, more women smoke than men nowadays.",Reported speech,Unit 15,4,None,,,
33,My parents encouraged __________ this course.,Verb + verb patterns,Unit 16,5,Exact Level,ep_1114,ABC News - Amazon Hires Thousands Of People,https://ejoy-english.com/epic/videoEpic/abc-news/amazon-hires-thousands-people/ep_1114
34,What will you do if __________,Likelihood based on conditions 1,Unit 17,5,Exact Level,ep_977,Pharrell Williams - Happy,https://ejoy-english.com/epic/videoEpic/pharrell-williams/happy/ep_977
